DemoGraphic Data,Total Reported Cases,Asymptomatic Cases,AIDS Cases,No. of Male,No. of Female,Less than 15 y/o,15-24  y/o,25-34 y/o,35-49 y/o,50 y/o & above,Reported Deaths,No. of male Deaths,No. of Female Deaths,Sexual Contact,Blood/Blood Products,Sharing of Needles,Needle Prick Injury,Mother-to-child,No Data Available
     Total of Year 2020,8058,-,1623,7624,434,32,2241,4071,1480,234,846,810,36,8058,0,81,0,23,135
2021 January,888,-,137,849,39,2,265,451,148,22,64,-,-,888,0,7,0,2,18
2021 February,885,-,136,845,39,2,264,449,148,21,64,-,-,885,0,7,0,2,18
2021 March,1041,-,156,991,50,1,316,538,158,28,68,-,-,1041,0,9,0,0,19
2021 April,1119,-,172,1070,50,3,334,568,187,27,81,-,-,1119,0,9,0,2,23
2021 May,645,-,99,617,29,1,193,327,108,16,47,-,-,645,0,5,0,1,13
2021 June,1496,-,232,1426,70,4,426,748,280,38,52,-,-,1496,0,11,0,3,57
2021 July,1045,-,161,999,46,2,312,530,175,25,76,-,-,1045,0,8,0,2,2
2021 August,878,-,135,838,39,2,262,445,147,21,63,-,-,878,0,7,0,3,18
2021 September,981,-,161,932,49,2,314,486,152,27,106,-,-,981,0,7,0,1,17
2021 October,1136,-,175,110,50,3,339,389,190,28,82,-,-,1136,0,9,0,2,23
2021 November,1268,-,195,1211,56,3,378,643,212,31,92,-,-,1268,0,10,0,3,26
2021 December,993,-,143,952,41,3,306,504,156,24,50,-,-,993,0,7,0,3,12
     Total of Year 2021,12341,-,1902,11793,548,30,3685,6262,2063,301,893,-,-,12341,0,96,0,24,253
,,,,,,,,,,,,,,,,,,,
